area_peril_id,lon,lat,peril_id,coverage_type
620,105.99949,-5.93944,QTS,1
621,114.38004,-8.1998,QTS,1
622,114.38058,-8.19808,QTS,1
623,114.38049,-8.19847,QTS,1
624,114.38036,-8.19982,QTS,1
625,106.00142,-5.91322,QTS,1
626,105.99643,-5.93066,QTS,1
627,105.99664,-5.93102,QTS,1
628,105.99695,-5.93106,QTS,1
629,105.99722,-5.93126,QTS,1
630,105.99733,-5.93157,QTS,1
631,105.99766,-5.93171,QTS,1
632,105.99777,-5.93203,QTS,1
633,105.99917,-5.93879,QTS,1
634,105.99931,-5.93895,QTS,1
635,105.9993,-5.93914,QTS,1
636,114.37883,-8.20345,QTS,1
637,114.38036,-8.19999,QTS,1
638,114.38072,-8.19821,QTS,1
639,114.38067,-8.19841,QTS,1
640,105.99525,-5.92987,QTS,1
641,105.99639,-5.93084,QTS,1
642,105.9965,-5.93098,QTS,1
643,105.99693,-5.93123,QTS,1
644,105.99707,-5.93133,QTS,1
645,105.99716,-5.93161,QTS,1
646,105.99746,-5.93174,QTS,1
647,105.99936,-5.95479,QTS,1
648,114.38793,-8.22256,QTS,1
649,114.38799,-8.22326,QTS,1
650,114.3792,-8.20342,QTS,1
651,114.37917,-8.20357,QTS,1
652,114.37889,-8.2036,QTS,1
653,114.38081,-8.19854,QTS,1
654,114.3807,-8.19979,QTS,1
655,105.9951,-5.9298,QTS,1
656,105.99601,-5.93067,QTS,1
657,105.99582,-5.93062,QTS,1
658,105.99621,-5.93092,QTS,1
659,105.99638,-5.93115,QTS,1
660,105.99705,-5.93149,QTS,1
661,105.99828,-5.93272,QTS,1
662,105.9986,-5.93289,QTS,1
663,105.99936,-5.95493,QTS,1
664,114.38777,-8.22196,QTS,1
665,114.38771,-8.22224,QTS,1
666,114.38772,-8.22253,QTS,1
667,114.38781,-8.22315,QTS,1
668,114.37971,-8.20264,QTS,1
669,114.37964,-8.20279,QTS,1
670,114.37939,-8.2032,QTS,1
671,114.37938,-8.20336,QTS,1
672,114.37931,-8.20371,QTS,1
673,114.37903,-8.20364,QTS,1
674,114.37905,-8.20381,QTS,1
675,114.37996,-8.20247,QTS,1
676,114.38022,-8.20231,QTS,1
677,114.38107,-8.19835,QTS,1
678,114.38101,-8.19851,QTS,1
679,106.00149,-5.91459,QTS,1
680,105.99606,-5.93085,QTS,1
681,105.9957,-5.93077,QTS,1
682,105.99544,-5.93061,QTS,1
683,105.99623,-5.93112,QTS,1
684,105.9984,-5.93289,QTS,1
685,105.99868,-5.93308,QTS,1
686,105.99883,-5.93309,QTS,1
687,105.99869,-5.95472,QTS,1
688,105.99882,-5.95485,QTS,1
689,105.9991,-5.95502,QTS,1
690,105.99925,-5.95504,QTS,1
691,114.38763,-8.22205,QTS,1
692,114.38764,-8.22236,QTS,1
693,114.38759,-8.22264,QTS,1
694,114.37989,-8.20262,QTS,1
695,114.37976,-8.20294,QTS,1
696,114.37951,-8.2031,QTS,1
697,114.37952,-8.20347,QTS,1
698,114.37922,-8.20385,QTS,1
