event_id,period_no,occ_year,occ_month,occ_day
8,13849,13849,1,1
114,13883,13883,1,1
453,13886,13886,1,1
174,13942,13942,1,1
492,13951,13951,1,1
103,13958,13958,1,1
301,14012,14012,1,1
316,14041,14041,1,1
473,14043,14043,1,1
25,14086,14086,1,1
54,14144,14144,1,1
384,14168,14168,1,1
177,14198,14198,1,1
399,14228,14228,1,1
394,14233,14233,1,1
426,14268,14268,1,1
511,14293,14293,1,1
71,14294,14294,1,1
536,14343,14343,1,1
33,14347,14347,1,1
293,14406,14406,1,1
437,14423,14423,1,1
470,14432,14432,1,1
115,14481,14481,1,1
699,14495,14495,1,1
150,14517,14517,1,1
131,14543,14543,1,1
130,14568,14568,1,1
41,14570,14570,1,1
566,14583,14583,1,1
268,14596,14596,1,1
79,14621,14621,1,1
614,14635,14635,1,1
467,14637,14637,1,1
728,14667,14667,1,1
319,14733,14733,1,1
327,14756,14756,1,1
247,14765,14765,1,1
66,14777,14777,1,1
145,14828,14828,1,1
220,14840,14840,1,1
402,14855,14855,1,1
253,14888,14888,1,1
708,14892,14892,1,1
322,14899,14899,1,1
23,14927,14927,1,1
4,14959,14959,1,1
696,14960,14960,1,1
671,14974,14974,1,1
223,14981,14981,1,1
605,14983,14983,1,1
702,15043,15043,1,1
